Elapsed,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM
0,0.2237387,0.07894449,0.2491259,0.1371968,0.2399919,0.4649769,0.2309604,0.1673302,0.2622207,0.3264484,0.1546281,0.1493867,0.1879371,0.1460917,0.1386138,0.1306238,0.1185362,0.1931784,0.07098858,0.07344706,0.09272221,0.2055391,0.1726911,0.3136609,0.4216633,0.5737987,0.6026347,0.502315,0.7442191,0.1676205,0.1700619,0.1700619,0.1707106,0.133014,0.3055001,0.3948761,0.12458,0.1774373,0.1633181,0.1715984,0.1530403,0.2912102,0.161406,0.1278921,0.2527794,0.1326725,0.2041391,0.5280096,0.3976077,0.2307385,0.2958028,0.1874078,0.2675815,0.2488698,0.1942711,0.1772154,0.1248873,0.221229,0.111451,0.1598353,0.1096072,0.4729669,0.3710254,0.3970102,0.1750813,0.2820934,0.2309434,0.2069903,0.1573768,0.1074219,0.201305,0.1871176,0.2205802,0.2992515,0.3476528,0.2521477,0.2851323,0.4333581,0.1683034,0.1089243,0.1661863,0.177591,0.2709449,0.424412,0.1246824,0.119663,0.2243021,0.267923,0.1333554,0.2696303,0.1763105,0.1667327,0.2285532,0.3444602,0.2460869,0.3882348
3,0.2593012,0.1315457,0.3755327,0.29092,0.27943,0.4273997,0.3229997,0.2542818,0.3916152,0.4653867,0.2603256,0.1330652,0.2793959,0.266762,0.2185144,0.2089195,0.2513624,0.3487796,0.16564,0.1573256,0.238353,0.2152364,0.3057392,0.3356336,0.3156585,0.4322313,0.5832741,0.5852545,0.6581553,0.3356507,0.1484477,0.2332994,0.2307214,0.2347335,0.3743205,0.5513139,0.1380675,0.2661133,0.1837713,0.2727887,0.2289459,0.4166439,0.3058075,0.2814958,0.3044929,0.1889444,0.2224923,0.580201,0.5804742,0.4333923,0.3536454,0.3319459,0.3165121,0.1777275,0.3129268,0.2894347,0.218429,0.3482333,0.186042,0.3753619,0.2836129,0.7397461,0.5513139,0.5005395,0.2864128,0.4616648,0.4382751,0.3567697,0.378418,0.2830324,0.4714304,0.3422578,0.3109122,0.4415189,0.4997029,0.3895836,0.3989736,0.5145562,0.2992344,0.2505429,0.2828787,0.3109463,0.3394921,0.5305364,0.2707571,0.2443113,0.2925078,0.4113855,0.3323556,0.4380702,0.3160682,0.3039465,0.3502138,0.5281461,0.3964639,0.5305022
6,0.2929858,0.1115876,0.3546185,0.2789691,0.2517039,0.395081,0.3044417,0.2695107,0.3326629,0.4643964,0.2402139,0.1154802,0.2720888,0.2595403,0.2471283,0.2090219,0.2669498,0.3663988,0.1916931,0.1568646,0.2246435,0.1640352,0.2886664,0.3459968,0.3432651,0.4236779,0.6175221,0.6560212,0.6994714,0.3526722,0.1599719,0.2326507,0.2306019,0.2607012,0.3949786,0.5413605,0.1306067,0.2249508,0.1799811,0.2621012,0.2210753,0.3679865,0.300071,0.2988759,0.2666425,0.1815518,0.2042074,0.498542,0.6854376,0.4304557,0.4525138,0.3624891,0.3940395,0.1898492,0.3089659,0.2726521,0.2467528,0.3642988,0.1836689,0.3229827,0.2760496,0.761548,0.5835473,0.5308607,0.3462016,0.5263364,0.4652671,0.4061441,0.4414506,0.365767,0.5868253,0.4153805,0.3706498,0.4405458,0.5280266,0.3791179,0.4383093,0.6432337,0.32399,0.3479943,0.3331239,0.4202292,0.422056,0.6270999,0.1940491,0.2628182,0.3230339,0.3661768,0.3666377,0.4389921,0.2834933,0.3508454,0.4018247,0.5027419,0.4284753,0.5172366
9,0.2911761,0.1459722,0.3912738,0.3175706,0.2681449,0.4325216,0.3423432,0.2873689,0.3186462,0.4318216,0.200127,0.1267995,0.2989784,0.2801471,0.2569964,0.2441918,0.3423261,0.4231999,0.2231753,0.1860591,0.219368,0.2544867,0.3111,0.4268022,0.314856,0.4536065,0.7328487,0.7837597,0.785723,0.4608624,0.1699765,0.2725838,0.2571671,0.3036904,0.4780717,0.6050931,0.1440259,0.2860031,0.1780007,0.2548623,0.2118389,0.3656304,0.3129097,0.3203534,0.2706717,0.1817567,0.2238069,0.4661208,0.7351193,0.4852423,0.3997589,0.4304387,0.4388556,0.3012832,0.3348482,0.3227607,0.2694937,0.3451431,0.2229192,0.3617037,0.3333288,0.8004227,0.6347144,0.5684379,0.4597697,0.6883571,0.5285388,0.4403068,0.4759718,0.4112318,0.6651381,0.5268486,0.4321289,0.4738035,0.5680794,0.4528382,0.5082393,0.7530628,0.3076172,0.3833178,0.4017052,0.4863691,0.601542,0.7919546,0.215612,0.2650035,0.3419505,0.4172414,0.3712815,0.4306948,0.2489893,0.3845642,0.4624672,0.4994127,0.3605428,0.5455945
12,0.2629548,0.1497453,0.3536454,0.3015563,0.2973052,0.4738035,0.3392189,0.2566379,0.3291972,0.3691133,0.2024148,0.1192192,0.298432,0.2677181,0.237192,0.2605134,0.3596208,0.4078856,0.2441918,0.2098926,0.2205119,0.2481015,0.35496,0.483535,0.3248777,0.4194267,0.6126734,0.7931326,0.8011227,0.5837692,0.1690034,0.278235,0.2735399,0.3358897,0.4888446,0.6352607,0.1639157,0.2522843,0.1957905,0.2732326,0.2080317,0.34487,0.2876762,0.3156414,0.2641328,0.1677741,0.2245069,0.4054271,0.6335193,0.4878373,0.3862202,0.441997,0.4102928,0.339475,0.3254582,0.3255095,0.2866347,0.3562404,0.2487332,0.4244462,0.3928274,0.7762477,0.7178075,0.5858863,0.5450653,0.8495069,0.5143001,0.450687,0.5010858,0.4480919,0.8318537,0.6127247,0.4486724,0.5119441,0.6028224,0.4948884,0.5741231,0.9185492,0.3254412,0.3602525,0.4080904,0.4836716,0.5629917,0.9587556,0.1943223,0.2658572,0.4224145,0.4296192,0.413622,0.4163707,0.2343408,0.4185048,0.4824253,0.5086661,0.3418139,0.5066857
15,0.23907,0.1555842,0.3508796,0.3009929,0.2989613,0.4833472,0.3385018,0.2566037,0.3204559,0.3440675,0.324246,0.1298896,0.2922688,0.288342,0.2515844,0.2760496,0.3971639,0.4643623,0.2950175,0.2136316,0.2100804,0.2443967,0.408927,0.6069028,0.356838,0.4265632,0.6671356,0.7908278,0.8022153,0.6244024,0.1894565,0.2889396,0.2966223,0.337136,0.5264559,0.6662307,0.1626864,0.2452674,0.1928882,0.2928663,0.2008953,0.3321508,0.2737448,0.3145999,0.2380286,0.1711204,0.2212119,0.3901469,0.570333,0.4747254,0.3449895,0.4394873,0.4409726,0.4021662,0.3149243,0.3444431,0.289281,0.3478065,0.2845177,0.4357483,0.3961736,0.8446071,0.7548896,0.6277658,0.6444629,1.092282,0.5060881,0.460316,0.5497261,0.4942226,0.9487509,0.7174661,0.4769791,0.5218804,0.6496531,0.5593722,0.6574895,1.089157,0.3618403,0.3747814,0.4334435,0.5335753,0.630873,1.124959,0.210456,0.2695449,0.4257437,0.4101904,0.4333923,0.4227389,0.2238752,0.4121879,0.5060198,0.5019736,0.3741668,0.5025029
18,0.2595915,0.1429503,0.3768643,0.2780642,0.300293,0.5042614,0.3276094,0.2349555,0.3371189,0.3395091,0.3343019,0.1486697,0.336675,0.3190559,0.2554769,0.3492235,0.4928226,0.4919348,0.3388945,0.2208875,0.2624255,0.3023075,0.5017175,0.6384363,0.3669451,0.4616648,0.6976275,0.8657943,0.7947033,0.6648819,0.2041391,0.3597062,0.3112878,0.4097123,0.6462897,0.6852328,0.1643083,0.2571842,0.2185144,0.2696473,0.209039,0.3402091,0.264167,0.3251509,0.2321043,0.1584865,0.3276948,0.3414554,0.5436311,0.4680842,0.3411822,0.4139293,0.4338703,0.4440115,0.3188681,0.3463553,0.3163755,0.3860836,0.3093244,0.4792497,0.4314118,0.8580775,0.7997398,0.6825864,0.7636821,1.253107,0.5260121,0.480718,0.5976665,0.5865009,1.060817,0.7911863,0.5040053,0.5570675,0.6895521,0.6571822,0.7464728,1.100716,0.4390434,0.440597,0.5356582,0.6077052,0.7631187,1.24831,0.265123,0.2695449,0.4089099,0.4085514,0.4580112,0.4059564,0.2189241,0.4065197,0.5060028,0.5138221,0.4459578,0.5065491
21,0.2392407,0.158367,0.3594843,0.277313,0.3111,0.5042955,0.3575721,0.2438333,0.3542771,0.3168536,0.2807959,0.163062,0.3841373,0.333619,0.2986027,0.4411775,0.6400582,0.571972,0.4061612,0.26864,0.2882738,0.3773765,0.5941666,0.7126004,0.3653232,0.4679476,0.7504507,0.8798111,0.910064,0.7381924,0.2236362,0.3815935,0.3737059,0.4874959,0.7367241,0.7694868,0.1551061,0.2680084,0.2469747,0.2702107,0.2065805,0.3191071,0.2562794,0.3409432,0.232975,0.1570353,0.3150268,0.3388091,0.5380484,0.4489968,0.3706498,0.3993663,0.4518992,0.508171,0.3515966,0.3222485,0.3374433,0.3945346,0.3394408,0.5120636,0.4660183,0.9081689,0.8446412,0.7888986,0.9595239,1.390577,0.5455604,0.5186537,0.7014177,0.6628674,1.193182,0.7956082,0.5224097,0.5949861,0.75028,0.7336682,0.8956888,1.29287,0.5096564,0.4828521,0.6518213,0.7043372,0.8896791,1.27537,0.2650889,0.2954614,0.424651,0.3929981,0.4863178,0.4017394,0.220307,0.4106001,0.474862,0.4691768,0.4335971,0.5079149
24,0.2478454,0.1610474,0.3755668,0.2799081,0.3682426,0.4873081,0.3364531,0.2413065,0.3393042,0.3163755,0.3837276,0.1914199,0.3936639,0.3836764,0.3354116,0.5384923,0.781267,0.6616894,0.4086538,0.2816666,0.3158975,0.4104123,0.78055,0.7722014,0.3870056,0.5142831,0.7725087,0.8974643,1.136346,0.8433437,0.2181729,0.3877909,0.4109245,0.5193366,0.8430534,0.9141786,0.1619864,0.2736765,0.2819568,0.2532404,0.2131706,0.3399359,0.2497917,0.3403286,0.2157657,0.15625,0.3102976,0.3274216,0.4860959,0.4474602,0.3574867,0.3648451,0.4479383,0.5640843,0.3326117,0.3231022,0.3388262,0.3903518,0.343009,0.5468408,0.495725,0.9404877,0.9120786,0.8950912,1.137234,1.562022,0.579484,0.580406,0.7930472,0.7884376,1.316789,0.9324635,0.5333021,0.6785914,0.807781,0.8328439,1.03012,1.440208,0.5720061,0.5486506,0.7087249,0.8156687,1.032032,1.429093,0.2962979,0.3163926,0.4526333,0.4176171,0.4904153,0.4502431,0.2192314,0.4066051,0.480718,0.4857715,0.4792327,0.5403532
27,0.2341018,0.1727423,0.3825496,0.2837665,0.4837057,0.5050979,0.3336532,0.22898,0.3402433,0.3096659,0.4201097,0.2316092,0.4168146,0.4226876,0.3424286,0.6403996,1.021771,0.8040251,0.44507,0.322351,0.3437432,0.5026907,0.966592,0.8988301,0.4127854,0.5516895,0.8065689,1.011937,1.281021,1.084787,0.2482039,0.4191877,0.4172244,0.6096004,0.9882915,1.040961,0.1603133,0.2769715,0.3069513,0.2494332,0.2243874,0.3640085,0.2449772,0.3732108,0.2248313,0.1626352,0.3230851,0.3414554,0.4560137,0.3731425,0.3518527,0.3551649,0.4730865,0.6271511,0.3400896,0.331024,0.3564112,0.4182487,0.347465,0.6054688,0.5540114,0.9676164,0.9935499,1.061056,1.308696,1.750044,0.6274243,0.6953398,0.8490118,0.9257368,1.550873,1.061551,0.5847253,0.805647,0.8803745,1.034644,1.324591,1.674105,0.6722574,0.6554919,0.7465581,0.9852013,1.170151,1.599275,0.2885298,0.3813374,0.4791815,0.3988199,0.5637087,0.5022809,0.2178486,0.4058368,0.5204634,0.4667354,0.4700646,0.5777596
30,0.2103707,0.1718886,0.3788618,0.2840226,0.4983029,0.5664746,0.2734033,0.2082707,0.3391165,0.3767619,0.4595307,0.2803178,0.4354752,0.4587966,0.3972833,0.7619065,1.328654,1.003025,0.4827326,0.3716742,0.4097465,0.5545919,1.180821,1.067099,0.4769108,0.6046834,0.8963717,1.197467,1.438518,1.400804,0.2957174,0.4308996,0.4652159,0.6166343,1.18398,1.222103,0.1538939,0.2824007,0.3345239,0.2342213,0.2508502,0.371145,0.2394627,0.3773936,0.2220143,0.1449478,0.3196023,0.3445626,0.4464871,0.3674231,0.3845983,0.3374433,0.5316973,0.7439972,0.3264826,0.4475798,0.3524503,0.4340752,0.3970102,0.6225927,0.6662819,1.104267,1.098701,1.246176,1.501516,1.958264,0.6870083,0.7607285,0.9578507,1.048183,1.770924,1.312708,0.6755866,0.8456314,1.012569,1.218688,1.630006,1.866037,0.7248416,0.763409,0.7824622,1.08844,1.374426,1.710316,0.3081635,0.471106,0.5713232,0.3430773,0.6335705,0.5602942,0.2345116,0.3998443,0.5820449,0.4414677,0.5563163,0.6503531
33,0.2215363,0.1887907,0.3564453,0.2874542,0.569872,0.584401,0.2724643,0.1950223,0.3518698,0.3964468,0.5148124,0.3420871,0.4812814,0.5495725,0.4511138,0.8437876,1.574502,1.195879,0.5136343,0.4158927,0.5084954,0.6654453,1.503974,1.272895,0.5120977,0.6530505,1.006218,1.262839,1.638167,1.643135,0.3171608,0.5035101,0.521539,0.6708062,1.429537,1.423835,0.1610474,0.2949663,0.3700694,0.2326848,0.2735229,0.3796813,0.245882,0.411027,0.228741,0.1539622,0.3107927,0.3708547,0.4533162,0.3933396,0.3724596,0.3670816,0.5878496,0.8445558,0.3306313,0.4130928,0.3664841,0.4344508,0.5346168,0.6934789,0.7593114,1.248344,1.238732,1.392728,1.758291,2.166535,0.786406,0.8771819,1.138617,1.216793,1.939757,1.511708,0.811281,0.9950693,1.133239,1.389177,1.946979,2.035706,0.814576,0.7802427,0.8587433,1.226423,1.636766,1.860574,0.3491211,0.5674989,0.6496019,0.3759424,0.7368949,0.6783012,0.2282288,0.4649428,0.6155929,0.4212706,0.6225586,0.7299975
36,0.2088171,0.1906175,0.4127684,0.2790544,0.6479799,0.6777549,0.2489381,0.2277166,0.3395262,0.3922469,0.5556504,0.4271778,0.5336265,0.6178465,0.5413434,1.003896,1.821477,1.546059,0.6147051,0.5150001,0.624283,0.8002349,1.897826,1.603953,0.5699744,0.7438264,1.098974,1.174077,1.853044,1.941037,0.375618,0.5360679,0.6235317,0.7729526,1.690358,1.637313,0.1525623,0.3176731,0.4016369,0.2124023,0.3363165,0.3904713,0.2321726,0.4423896,0.2422285,0.1615938,0.3320313,0.4152952,0.4645159,0.3893104,0.3484553,0.3918542,0.6352778,0.9864988,0.3326459,0.4200584,0.3824813,0.4374385,0.5499481,0.8343804,0.8353365,1.477136,1.361963,1.596902,1.96849,2.368301,0.9424169,1.032527,1.318752,1.411969,2.143435,1.662222,0.9005886,1.171107,1.294014,1.58478,2.250208,2.203548,1.008147,0.9639457,0.9948133,1.441847,1.881539,2.023021,0.3611062,0.7018616,0.6767988,0.3230851,0.9063081,0.783128,0.2195217,0.5042101,0.7235611,0.3853154,0.7577237,0.8579067
39,0.2258045,0.1980271,0.3789814,0.2819909,0.6824499,0.792279,0.2404358,0.2426041,0.3451431,0.4043003,0.5882594,0.5673111,0.5637258,0.7576896,0.6283804,1.0545,2.000314,1.849049,0.706898,0.621722,0.7617358,0.8788208,2.078798,1.898475,0.5909569,0.8130395,1.185021,1.224596,2.025377,2.20937,0.4452749,0.5870472,0.6847035,0.8027617,1.97211,1.904741,0.1485672,0.3546356,0.4242412,0.2139389,0.3528429,0.4268193,0.2327872,0.4911324,0.2747862,0.1594255,0.3462699,0.4360215,0.4628599,0.4002199,0.3275411,0.4668207,0.7636138,1.126393,0.3332092,0.3613452,0.4278266,0.4234388,0.6245049,0.8917108,0.9474022,1.657817,1.514372,1.781134,2.233033,2.685803,1.121493,1.201138,1.522703,1.642913,2.371613,1.881488,1.039851,1.398465,1.495131,1.845771,2.545687,2.520812,1.127674,1.223332,1.181538,1.640864,2.14463,2.21695,0.3644183,0.8609798,0.7522262,0.3590574,1.086323,0.8426437,0.2070073,0.5845205,0.8351828,0.357794,0.9223223,0.9280246
42,0.2569111,0.225924,0.4047954,0.320251,0.7636821,0.9183955,0.2584476,0.2283142,0.3309557,0.4160122,0.6712501,0.9028423,0.6040176,0.8611164,0.6954764,1.153539,2.203053,2.175856,0.787362,0.6922667,0.8338341,0.9808307,2.214236,2.363605,0.6205269,0.9242685,1.274499,1.348937,2.251967,2.551167,0.5526627,0.6376168,0.8221393,0.9504924,2.295963,2.263525,0.1624816,0.4196658,0.4915934,0.2260435,0.3734839,0.4939835,0.2392237,0.5227,0.3027002,0.1631645,0.4081417,0.4545796,0.4606575,0.3693182,0.3554551,0.520139,0.781728,1.385387,0.3700182,0.4050173,0.4026271,0.503715,0.7083834,1.112598,1.145617,1.940406,1.706526,2.064405,2.559072,2.946743,1.391448,1.438961,1.755491,1.897587,2.520726,2.126601,1.250836,1.57498,1.798992,2.124194,2.788974,2.649558,1.253363,1.375946,1.375297,1.88497,2.509014,2.542579,0.4249583,1.102918,0.8428144,0.3541063,1.227976,1.002752,0.2098585,0.6513433,0.8861109,0.3555917,1.084514,1.073228
