Elapsed,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM
45,0.2866689,0.2364579,0.3985297,0.319295,0.774916,1.071777,0.3021368,0.2353994,0.3481138,0.4307119,0.7115931,1.068499,0.7475483,0.9823502,0.8645992,1.234993,2.312421,2.441748,0.9070251,0.8171198,0.978082,1.055712,2.28589,2.748921,0.6801963,1.074099,1.372617,1.402904,2.439562,2.877086,0.7003934,0.7825134,0.9525069,1.082192,2.509612,2.606671,0.1605182,0.4742303,0.5092636,0.2116511,0.4089953,0.5544382,0.2397188,0.5475408,0.3381945,0.1685936,0.446709,0.4937786,0.4758181,0.363889,0.3551136,0.5577162,0.8620895,1.602058,0.3979321,0.3600647,0.4709524,0.5108002,0.7913229,1.265451,1.305623,2.194261,1.907814,2.283534,2.779788,3.258902,1.675778,1.675692,2.022235,2.128428,2.737209,2.359252,1.401487,1.781287,2.023345,2.265096,3.04568,2.909302,1.551812,1.619403,1.595775,2.08158,2.808078,2.707588,0.4075783,1.304923,0.931883,0.3683279,1.447925,1.127195,0.2298678,0.7207953,1.054756,0.3280191,1.276924,1.194223
48,0.3000027,0.2571501,0.3677133,0.3191072,0.852358,1.226252,0.3092391,0.2451821,0.367167,0.4520187,0.755675,1.243939,0.9245076,1.249863,1.028259,1.352693,2.43456,2.853492,0.9632969,0.9739845,1.102764,1.172199,2.380764,3.042248,0.7954033,1.22393,1.555893,1.634496,2.539541,3.071391,0.8785989,0.9812233,1.059519,1.190501,2.698215,2.811817,0.1725203,0.5531065,0.5563675,0.2203924,0.4571747,0.5960787,0.2473844,0.6043761,0.3889348,0.1607401,0.5284876,0.5228877,0.4678451,0.3262948,0.3298118,0.5984006,0.9300904,1.854956,0.4372166,0.3487796,0.4209121,0.5229048,0.8959789,1.440259,1.536327,2.541623,2.14982,2.474903,3.020685,3.535463,1.952135,1.938442,2.302536,2.3879,2.941229,2.614097,1.600999,2.06234,2.216438,2.486786,3.232592,3.190286,1.80058,1.852498,1.752998,2.267366,3.060755,2.920383,0.3918542,1.483077,1.063224,0.3975053,1.695053,1.346017,0.2032172,0.8142175,1.207369,0.3201315,1.411269,1.340554
51,0.2949663,0.2581403,0.3512381,0.2847909,0.8750819,1.344447,0.284808,0.2589427,0.369284,0.473906,0.7940204,1.463614,1.063617,1.450776,1.287509,1.459039,2.557569,3.141475,1.12023,1.131566,1.288994,1.303079,2.467306,3.161553,0.999679,1.326144,1.738128,1.85371,2.637999,3.293406,1.09515,1.084275,1.222735,1.316191,2.814122,2.975767,0.1882444,0.6288072,0.5802352,0.2092609,0.5142489,0.6685355,0.2384554,0.6640113,0.402815,0.1506672,0.6116832,0.575967,0.4422872,0.3482162,0.3466797,0.6251878,0.9812917,2.094163,0.4392824,0.4212877,0.4427482,0.4813838,0.9220321,1.633062,1.786973,2.8139,2.326438,2.644333,3.19015,3.8544,2.368796,2.295673,2.533206,2.580088,3.085391,2.84166,1.80338,2.246623,2.390359,2.719983,3.431388,3.390874,2.058823,2.121582,1.954218,2.437889,3.232234,3.046585,0.3896006,1.703299,1.176911,0.399537,1.946245,1.569773,0.2246094,0.9492802,1.30844,0.3249631,1.56151,1.49607
54,0.316495,0.2925761,0.384991,0.3237339,0.9389511,1.421223,0.2915858,0.2883079,0.3576575,0.513788,0.7259171,1.544796,1.252219,1.615033,1.512135,1.598745,2.716671,3.371172,1.29625,1.325701,1.439593,1.445961,2.543348,3.36098,1.098547,1.543703,1.929564,2.133277,2.73166,3.626513,1.241839,1.243581,1.405499,1.370653,2.969757,3.097939,0.205283,0.7009909,0.6502677,0.2014416,0.585596,0.7429217,0.2484429,0.7105858,0.4580283,0.1600572,0.6388801,0.6154051,0.4324533,0.4328289,0.32189,0.6457263,1.086238,2.38819,0.5041589,0.4020467,0.4601794,0.5280949,0.9165004,1.821665,2.058737,3.148424,2.595215,2.83717,3.329805,4.139566,2.720785,2.615019,2.707963,2.760325,3.309966,3.036512,1.980407,2.496193,2.543945,2.885162,3.583694,3.534849,2.393688,2.368369,2.084483,2.581198,3.421537,3.186923,0.4111123,1.877988,1.327544,0.4427311,2.107036,1.804677,0.2132389,1.132983,1.433942,0.3327483,1.845345,1.610816
57,0.3371189,0.2968101,0.4034637,0.3588184,0.9890769,1.474814,0.3036051,0.3311264,0.3747815,0.5243219,0.8299927,1.6487,1.490094,1.992307,1.804797,1.700226,2.807583,3.445285,1.517855,1.589799,1.563046,1.553076,2.641192,3.573314,1.235386,1.720782,2.164401,2.234416,2.855762,3.772246,1.477853,1.42293,1.566785,1.535815,3.157336,3.268889,0.2435089,0.8504801,0.7164418,0.191437,0.6737086,0.7860475,0.2599841,0.8120493,0.5417873,0.1668693,0.7128906,0.6439337,0.4478529,0.4199048,0.3130293,0.6465458,1.112871,2.609453,0.5401483,0.3795277,0.422295,0.518244,0.9580556,1.983788,2.295349,3.486584,2.757321,3.013276,3.419898,4.31137,2.945377,2.872596,3.045099,2.945446,3.369362,3.134748,2.151203,2.808215,2.705932,3.079569,3.652617,3.532015,2.645135,2.697771,2.294051,2.719863,3.555609,3.294908,0.4409384,2.146269,1.518162,0.4579771,2.302178,2.026794,0.2342555,1.343661,1.55072,0.3069855,2.052147,1.761705
60,0.3354458,0.3182364,0.4083294,0.3617379,1.033432,1.574758,0.3623525,0.3573331,0.4182487,0.5345997,0.8925815,1.786153,1.766315,2.414756,2.045693,1.847564,2.88721,3.531878,1.778675,1.876554,1.794382,1.722301,2.793054,3.624959,1.393906,1.906312,2.404819,2.460528,3.022358,3.897372,1.789619,1.66678,1.739527,1.716496,3.299603,3.370558,0.2355872,0.9535484,0.835456,0.2019709,0.817615,0.9113104,0.3095293,0.9130688,0.6063223,0.1579061,0.7660552,0.7319609,0.4580454,0.5163659,0.3250143,0.5939105,1.14449,2.81629,0.5265754,0.4088416,0.4276217,0.5005565,1.013474,2.037396,2.521153,3.915913,2.928834,3.178164,3.655331,4.500519,3.310803,3.077742,3.245653,3.086125,3.440214,3.241522,2.352491,3.062531,2.772618,3.258253,3.830925,3.65178,3.004791,2.957772,2.458974,2.73248,3.708377,3.383243,0.449048,2.388959,1.652781,0.4490822,2.532097,2.289834,0.2576622,1.50913,1.715813,0.2979711,2.231957,1.901838
63,0.3536966,0.355438,0.4334947,0.4261705,1.080314,1.63412,0.3850251,0.3678158,0.5559236,0.6077394,0.9003667,1.88649,1.955327,2.746804,2.275527,1.985922,3.071545,3.610567,2.003575,2.251745,2.040606,1.955361,2.915637,3.701479,1.48236,2.166552,2.540275,2.64855,3.078033,3.980107,2.077551,1.83254,1.989797,1.835579,3.447522,3.4361,0.2534623,1.132932,0.9108835,0.1940491,1.006901,1.039476,0.2964686,1.049617,0.6608016,0.2042074,0.8990692,0.8051348,0.568455,0.5367679,0.3230851,0.5868082,1.170492,3.057426,0.535146,0.4127855,0.5174586,0.4961518,1.056583,2.181934,2.748067,4.232903,3.01529,3.300593,3.731237,4.498044,3.62723,3.253746,3.420666,3.141083,3.534149,3.235136,2.555247,3.292911,2.953846,3.33298,3.901009,3.722445,3.296837,3.219105,2.600849,2.789008,3.806528,3.471953,0.4694329,2.619373,1.851918,0.4996688,2.725463,2.491925,0.2685035,1.756276,1.918245,0.3567185,2.429865,2.094556
66,0.405871,0.386408,0.4886568,0.3740132,1.179507,1.626574,0.4310362,0.413383,0.5544041,0.6848912,0.9488704,1.895299,2.316536,3.124659,2.499727,2.137323,3.209544,3.639215,2.281161,2.737909,2.320224,2.256747,3.030246,3.766185,1.753083,2.403471,2.786583,2.946572,3.201179,4.041432,2.379756,2.169437,2.215653,1.918706,3.585879,3.461077,0.3087952,1.355407,1.05887,0.1986587,1.200216,1.258434,0.2845177,1.265417,0.7524312,0.1905492,1.048593,0.8603993,0.5495383,0.5573235,0.344631,0.5983665,1.19004,3.135431,0.583001,0.4106514,0.4865228,0.5099978,1.101979,2.190437,2.926256,4.596092,3.137361,3.34389,3.766885,4.381385,3.943127,3.504988,3.547961,3.162475,3.553868,3.243417,2.745609,3.452985,3.021027,3.451056,3.991785,3.734327,3.616884,3.380869,2.727512,2.791859,3.841868,3.480967,0.52859,2.806098,2.060069,0.5544382,2.965045,2.692222,0.3184755,1.985375,2.097083,0.3523307,2.644077,2.240596
69,0.4841326,0.452787,0.5795352,0.3894641,1.202538,1.601972,0.5210951,0.464072,0.6888009,0.714871,1.000174,1.892414,2.620944,3.526637,2.883369,2.208943,3.243673,3.568072,2.616214,3.105008,2.659425,2.495578,3.105469,3.745868,2.007792,2.538824,3.026729,3.09893,3.259209,3.891909,2.683993,2.497661,2.530543,2.108146,3.638002,3.512996,0.3486772,1.526374,1.320306,0.242126,1.3544,1.412396,0.3224534,1.446047,0.8077298,0.2042415,1.219132,0.9273759,0.5668843,0.6080126,0.3417627,0.6213293,1.193233,3.221717,0.5600039,0.432846,0.5045174,0.4870691,1.074611,2.188354,3.118546,4.850784,3.229707,3.398045,3.731169,4.287399,4.23362,3.630286,3.604403,3.221683,3.579648,3.202288,2.894552,3.655963,3.099237,3.462563,3.933959,3.610806,3.845949,3.563036,2.850828,2.775486,3.869834,3.475043,0.6263999,3.049607,2.262518,0.5912983,3.078801,2.875413,0.3857934,2.146201,2.287717,0.3984443,2.777569,2.349196
72,0.5824034,0.5422312,0.6410825,0.4254534,1.196289,1.567622,0.6154392,0.5316802,0.678745,0.7402412,0.9626482,1.89057,3.181442,3.881989,3.346229,2.386688,3.362636,3.517008,2.959428,3.562831,2.977662,2.65613,3.188955,3.584257,2.230165,2.789196,3.329037,3.277153,3.375116,3.860683,3.079962,2.845809,2.833909,2.263166,3.67249,3.44747,0.4048295,1.802509,1.479817,0.2660791,1.628042,1.730206,0.3396628,1.680302,0.8850353,0.188637,1.38607,0.9931743,0.6148587,0.650114,0.4033613,0.6180172,1.162143,3.238773,0.5389532,0.4956567,0.4641232,0.4767913,0.9962133,2.215585,3.273994,5.082854,3.198737,3.331546,3.73373,4.224862,4.580402,3.784606,3.703562,3.256802,3.505364,3.151531,3.044143,3.687309,3.152333,3.433078,3.917552,3.559844,3.986014,3.708701,2.916729,2.720307,3.843986,3.414674,0.7000348,3.228495,2.428807,0.6803499,3.239883,3.104069,0.4168146,2.363845,2.462815,0.4003906,2.976757,2.4089
75,0.6683307,0.6524189,0.7359217,0.4725572,1.195811,1.561185,0.7382778,0.5727744,0.6142271,0.7766916,1.120827,1.860676,3.505023,4.238554,3.760739,2.564245,3.419659,3.560526,3.339349,3.859214,3.36815,2.840072,3.202613,3.506201,2.453528,3.108696,3.691799,3.515608,3.406598,3.909169,3.483835,3.135141,3.102327,2.397,3.684321,3.393077,0.4684427,2.142359,1.695548,0.2934639,1.900285,1.946228,0.3825837,1.882324,1.070582,0.1900712,1.507304,1.072341,0.6817157,0.702647,0.5169123,0.6370534,1.190997,3.229263,0.6115466,0.5157172,0.4188292,0.5641185,0.987472,2.25492,3.409535,5.182695,3.269418,3.332844,3.6568,4.288321,4.885168,3.939303,3.722444,3.236758,3.55339,3.100227,3.130805,3.77875,3.229315,3.328781,3.930339,3.698303,4.170895,3.822542,2.979864,2.681125,3.787884,3.428707,0.7599602,3.38285,2.622668,0.7451069,3.355295,3.319117,0.4752035,2.533224,2.640236,0.4245827,3.14028,2.420116
78,0.745824,0.7897863,0.7301341,0.4830399,1.231425,1.548637,0.820671,0.7100394,0.7977765,0.8226173,1.143056,1.829143,3.722854,4.714816,4.024393,2.74286,3.432378,3.51163,3.800672,4.229045,3.644849,3.079365,3.317751,3.439634,2.675645,3.358743,3.804069,3.692687,3.499064,3.82693,3.913949,3.473079,3.329002,2.557467,3.698645,3.321354,0.5328924,2.584083,1.900985,0.3094098,2.390017,2.18289,0.4263583,2.153286,1.265639,0.2197778,1.702155,1.165831,0.8034617,0.752875,0.5261657,0.7306634,1.197279,3.211832,0.6586163,0.6307023,0.4591209,0.4854642,0.9835452,2.210582,3.586016,5.436397,3.280123,3.283469,3.595594,4.212928,5.085824,4.070729,3.752424,3.197132,3.483648,3.005337,3.22672,3.847673,3.286304,3.280669,3.852129,3.467668,4.333274,3.880607,3.087303,2.593456,3.717425,3.357531,0.8900548,3.596498,2.868755,0.8197832,3.543607,3.500191,0.5324485,2.700195,2.730329,0.4700817,3.28714,2.487656
81,0.8662553,0.8866914,0.8152589,0.4906202,1.217767,1.478195,0.9201199,0.8139443,0.7552823,0.7362462,1.201018,1.709155,4.092736,5.029024,4.400626,3.015512,3.510161,3.414264,4.251751,4.804722,3.899574,3.352956,3.316676,3.380545,2.937319,3.688589,4.017035,3.828466,3.533688,3.785853,4.197989,3.66636,3.547944,2.673237,3.679643,3.245824,0.5784767,2.835514,2.16522,0.3706157,2.789161,2.340626,0.4584892,2.405536,1.350012,0.224985,1.929155,1.275353,0.9187199,0.7007519,0.5903252,0.7258489,1.242846,3.158104,0.6900985,0.636507,0.4523602,0.4732913,0.948068,2.180312,3.698918,5.598759,3.30691,3.220454,3.439754,4.105779,5.168372,4.09277,3.781704,3.073081,3.399137,2.960862,3.35958,3.97198,3.272389,3.167921,3.78785,3.425822,4.409828,3.985758,3.1299,2.483115,3.661956,3.254428,1.05479,3.79987,2.956594,0.8847963,3.630781,3.365487,0.6040517,2.86167,2.913075,0.525534,3.34727,2.559772
84,0.9485631,0.9935499,0.7982715,0.5907862,1.209333,1.450963,1.02102,0.8949546,0.8442143,0.9061885,1.249795,1.736062,4.434226,5.547967,4.798234,3.239149,3.529334,3.320261,4.75323,5.239104,4.263651,3.642612,3.364104,3.338495,3.141953,4.003804,4.213696,4.002062,3.603191,3.679916,4.671503,4.068988,3.830566,2.790561,3.691133,3.157301,0.6704989,3.230971,2.508485,0.4126489,3.220898,2.54934,0.4823058,2.866211,1.542542,0.2645426,2.133123,1.383321,1.049992,0.8041617,0.6844985,0.6936325,1.238971,3.088584,0.7487263,0.611854,0.5462092,0.4762791,0.945729,2.051174,3.807296,5.685028,3.352034,3.158753,3.331649,3.858361,5.268555,4.184212,3.820357,2.948433,3.341329,2.8062,3.362106,4.089663,3.337949,3.167289,3.702043,3.176406,4.453432,4.149878,3.14279,2.412195,3.546134,3.141731,1.111711,4.021338,3.090394,0.9739162,3.804035,3.527866,0.7520044,3.025209,3.104769,0.5799962,3.526261,2.655635
87,1.106742,1.141912,0.9395829,0.6405533,1.294884,1.454242,1.219149,1.000703,0.9236369,0.8898669,1.281926,1.630586,4.589809,6.00953,5.1913,3.431781,3.55718,3.234402,5.271389,5.722468,4.557696,3.79625,3.421383,3.248863,3.460224,4.380173,4.438681,4.211819,3.618266,3.595935,5.20909,4.380446,4.060946,2.986096,3.671209,3.056487,0.7768623,3.709776,2.888235,0.429346,3.536163,2.846509,0.5344802,3.209288,1.886524,0.3120902,2.370622,1.440122,1.190996,0.8659822,0.7836914,0.7332755,1.228335,3.025961,0.7872083,0.7465752,0.546653,0.4990883,0.9300733,2.003985,3.839154,5.952046,3.238875,3.067601,3.2098,3.751827,5.226197,4.226586,3.767892,2.851699,3.26177,2.698232,3.397055,4.102108,3.366716,3.070469,3.567577,3.07822,4.653047,4.231879,3.165462,2.34346,3.460958,3.065433,1.247422,4.121367,3.123719,1.091718,3.875434,3.521754,0.8072177,3.164694,3.167289,0.6105052,3.506201,2.711036
90,1.273987,1.194428,1.007584,0.6930179,1.326281,1.388341,1.384448,1.121374,1.000191,1.005108,1.295038,1.554971,4.906304,6.396023,5.668535,3.68007,3.560544,3.147877,5.86436,6.120964,4.869581,4.022857,3.381348,3.086057,3.801645,4.736106,4.645347,4.334076,3.531639,3.514635,5.713164,4.75084,4.322672,3.130685,3.603789,2.970713,0.8805281,4.078104,3.24608,0.4541357,4.031906,3.247378,0.5964372,3.689323,2.112055,0.3227266,2.572286,1.568185,1.427557,0.9240466,0.804008,0.7442874,1.224561,2.922073,0.9036617,0.8350121,0.627117,0.4784644,0.893401,1.96849,3.855493,6.139949,3.203261,2.965011,3.105298,3.634281,5.358699,4.190972,3.704467,2.720239,3.162338,2.598254,3.46147,4.178321,3.359068,2.919802,3.404191,2.984491,4.62964,4.244905,3.171182,2.286829,3.297025,2.932026,1.385233,4.227952,3.218678,1.214369,3.941215,3.705611,0.90443,3.281608,3.203979,0.6815108,3.601808,2.686383
93,1.368075,1.336457,1.091001,0.7481629,1.312896,1.379207,1.511043,1.229649,1.131925,1.017298,1.264358,1.581246,5.196081,6.823799,5.884301,3.759083,3.550624,3.035761,6.35568,6.45822,5.181108,4.203828,3.361629,3.012712,4.008499,5.004917,4.948867,4.523926,3.523905,3.375492,6.295021,5.277108,4.653064,3.249648,3.569472,2.902627,0.9587897,4.621001,3.618318,0.5235877,4.516704,3.716537,0.5867057,4.172654,2.502236,0.3389628,2.730858,1.755747,1.525947,1.040039,0.882611,0.746302,1.227003,2.773147,1.004681,0.9076226,0.6902521,0.5151879,0.9018179,1.937042,3.860905,6.143244,3.168535,3.031543,2.956662,3.492799,5.510578,4.217367,3.771648,2.653518,3.016042,2.456379,3.458073,4.189368,3.414298,2.784569,3.298527,2.820029,4.562202,4.302816,3.206761,2.238121,3.173333,2.772738,1.481763,4.232716,3.293167,1.430903,3.97746,3.749932,1.00813,3.41551,3.268206,0.729417,3.673104,2.724165
96,1.409238,1.417313,1.122347,0.7880961,1.360085,1.316328,1.626915,1.356398,1.205013,1.018271,1.249095,1.504538,5.390368,7.030191,6.155144,3.869082,3.497323,2.891428,6.866754,6.900506,5.298944,4.443154,3.366323,2.859689,4.39139,5.359706,5.097673,4.571627,3.462699,3.244304,6.561885,5.532858,4.809126,3.3142,3.526893,2.770364,1.062524,5.055367,4.10986,0.5597478,4.895651,4.023181,0.6202537,4.575571,2.702842,0.4171731,3.068796,1.845806,1.617047,1.207011,0.9516875,0.7397973,1.22492,2.633816,1.160248,1.04009,0.7285463,0.5321412,0.8669212,1.866617,3.801696,6.102474,3.169235,2.93329,2.809393,3.33129,5.43288,4.285146,3.722359,2.536263,2.852501,2.318926,3.439054,4.315382,3.408954,2.72309,3.20082,2.678154,4.567051,4.313572,3.198242,2.241074,3.013856,2.651299,1.598284,4.32682,3.399394,1.560161,3.895392,3.612496,1.123815,3.363199,3.403918,0.7937472,3.680906,2.701168
