Elapsed,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_O,YAPrep_O,YAPrep_O,YAPrep_O,YAPrep_OR,YAPrep_OR,YAPrep_OR,YAPrep_OR,YAPrep_OT,YAPrep_OT,YAPrep_OT,YAPrep_OT,YAPrep_OTX,YAPrep_OTX,YAPrep_OTX,YAPrep_OTX,YAPrep_OTR,YAPrep_OTR,YAPrep_OTR,YAPrep_OTR,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_E,YAPrep_E,YAPrep_E,YAPrep_E,YAPrep_ER,YAPrep_ER,YAPrep_ER,YAPrep_ER,YAPrep_ET,YAPrep_ET,YAPrep_ET,YAPrep_ET,YAPrep_ETX,YAPrep_ETX,YAPrep_ETX,YAPrep_ETX,YAPrep_ETR,YAPrep_ETR,YAPrep_ETR,YAPrep_ETR,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_EA,YAPrep_EA,YAPrep_EA,YAPrep_EA,YAPrep_OA,YAPrep_OA,YAPrep_OA,YAPrep_OA,YAPrep_ETA,YAPrep_ETA,YAPrep_ETA,YAPrep_ETA,YAPrep_OTA,YAPrep_OTA,YAPrep_OTA,YAPrep_OTA,YAPrep_ETXA,YAPrep_ETXA,YAPrep_ETXA,YAPrep_ETXA,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_C,YAPrep_C,YAPrep_C,YAPrep_C,YAPrep_EC,YAPrep_EC,YAPrep_EC,YAPrep_EC,YAPrep_OC,YAPrep_OC,YAPrep_OC,YAPrep_OC,YAPrep_ETC,YAPrep_ETC,YAPrep_ETC,YAPrep_ETC,YAPrep_OTC,YAPrep_OTC,YAPrep_OTC,YAPrep_OTC,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_UT,YAPrep_OTXA,YAPrep_OTXA,YAPrep_OTXA,YAPrep_OTXA,YAPrep_EAC,YAPrep_EAC,YAPrep_EAC,YAPrep_EAC,YAPrep_OAC,YAPrep_OAC,YAPrep_OAC,YAPrep_OAC,YAPrep_T,YAPrep_T,YAPrep_T,YAPrep_T,YAPrep_R,YAPrep_R,YAPrep_R,YAPrep_R
36,0.1268255,0.1482604,0.1316772,0.1379582,0.1351877,0.1088271,0.1858021,0.1933541,0.2516868,0.1864446,0.2037576,0.2041593,0.191655,0.2027365,0.1973515,0.2052819,0.1677915,0.1571692,0.1758398,0.1325006,0.2840185,0.3286571,0.2681976,0.3940786,0.1413048,0.1683553,0.1216821,0.1329499,0.2022869,0.03506329,0.3016944,0.2879217,0.2276473,0.3808587,0.2316936,0.3365163,0.2403244,0.2876906,0.2935963,0.2631039,0.1901781,0.2046392,0.2118187,0.20204,0.280591,0.2156227,0.259357,0.1905869,0.1247772,0.1520717,0.1086052,0.1096111,0.1725841,0.102337,0.1818905,0.2718702,0.1213427,0.1534336,0.1200648,0.1396678,0.2755215,0.2132294,0.2549953,0.2845207,0.1886213,0.1916738,0.2513738,0.3738382,0.1410924,0.1165545,0.1984927,0.2009446,0.1536771,0.1269819,0.1115879,0.1252266,0.05212834,0.07287641,0.06381381,0.07477987,0.09905402,0.1100695,0.08123814,0.1168227,0.07812231,0.06971634,0.05530869,0.04944186,0.1014399,0.0774453,0.05282947,0.06788227,0.09177664,0.1130824,0.1007097,0.1111426,0.1283679,0.1390294,0.12843,0.1253993,0.1177331,0.02493977,0.1203621,0.1043939,0.07008905,0.07100562,0.1016173,0.07480473,0.07146243,0.06244035,0.06812444,0.08898559,0.1987447,0.2096726,0.2201905,0.2359571,0.2063784,0.2595935,0.1691239,0.1620785
39,0.1307904,0.1493887,0.1228879,0.1221715,0.1305336,0.1046979,0.1695086,0.1888869,0.2455597,0.1910107,0.2165077,0.2034515,0.2024857,0.1969295,0.2067931,0.2278155,0.1837377,0.1621309,0.1825776,0.1371613,0.3248715,0.3644922,0.305843,0.4151537,0.1494823,0.1364881,0.117494,0.1246119,0.2171912,0.02195339,0.3052535,0.3175846,0.2492163,0.3891532,0.2496237,0.3720379,0.2656747,0.3139466,0.3254186,0.275274,0.1976724,0.2298185,0.224025,0.2151867,0.2929665,0.2503468,0.2896444,0.2168067,0.1223308,0.157539,0.1080589,0.1105156,0.1863708,0.1097673,0.1766615,0.2943117,0.1385168,0.1491341,0.125553,0.1498483,0.3108074,0.2260156,0.2648814,0.3264478,0.20257,0.2015322,0.2753876,0.3438413,0.1640534,0.1347473,0.2254084,0.2087407,0.155473,0.1219347,0.1041913,0.1334112,0.0485291,0.07045203,0.0552907,0.0596479,0.1061464,0.1071321,0.08685295,0.1079632,0.08422191,0.07619195,0.05614843,0.03388621,0.09090021,0.06475082,0.04710764,0.07033625,0.08457045,0.116676,0.09300701,0.09634374,0.1360082,0.136061,0.1198497,0.1314349,0.135849,0.02951319,0.1233516,0.09686664,0.06689912,0.06442238,0.09825981,0.07355185,0.07151929,0.0663792,0.06483772,0.07864204,0.2060461,0.1958063,0.235397,0.2422557,0.1905849,0.2598326,0.1741585,0.1702288
42,0.1325928,0.1334598,0.1284975,0.129517,0.1284325,0.1116338,0.1797943,0.2005271,0.2472264,0.2205584,0.2257651,0.2124504,0.2176002,0.2033138,0.2321968,0.3229946,0.1848255,0.1546881,0.1989985,0.1466953,0.3417876,0.4089789,0.3256348,0.4729793,0.153637,0.1551295,0.1142138,0.1173176,0.2298423,0.09214248,0.3224506,0.3277028,0.2640678,0.3980338,0.2703151,0.3780687,0.294332,0.3617606,0.3540316,0.2896137,0.1975327,0.2315655,0.2353168,0.2395529,0.3201326,0.2734422,0.3351187,0.2918982,0.1243029,0.1544506,0.1196886,0.113576,0.2001373,0.06961992,0.1893764,0.3072737,0.1368031,0.1538592,0.1354797,0.1504849,0.3487338,0.2547551,0.2840511,0.3646663,0.1888559,0.2217154,0.2865688,0.3426244,0.172837,0.1413363,0.2481542,0.2339782,0.1609547,0.1219756,0.1098737,0.1287241,0.05012159,0.08642449,0.05442289,0.06455578,0.09876559,0.09506558,0.08887067,0.08778313,0.07695562,0.07300472,0.05115912,0.03549108,0.09174101,0.06601346,0.07107975,0.06102045,0.08318204,0.1157018,0.09192217,0.09867691,0.1340867,0.1397084,0.1203839,0.1331655,0.141214,0.02611632,0.1228274,0.09900302,0.06518458,0.06839181,0.09304287,0.07369909,0.07615227,0.06697287,0.06771535,0.07969324,0.2247301,0.2125251,0.2581998,0.2415633,0.1966261,0.2708946,0.1877837,0.1690996
45,0.1382152,0.1415828,0.1354273,0.1187603,0.1327159,0.1044044,0.1760864,0.1916884,0.2488526,0.2168806,0.2122597,0.2146667,0.2390766,0.2216934,0.2601016,0.3016391,0.1941053,0.1627633,0.2005602,0.1460377,0.3766788,0.4348258,0.3381943,0.5042554,0.1600844,0.1600711,0.121104,0.1293599,0.2533988,0.05206229,0.3390266,0.3544755,0.2859963,0.4277676,0.2761301,0.4001081,0.3104325,0.4030611,0.3796901,0.3149936,0.215889,0.2395709,0.2531449,0.2498289,0.3398625,0.2803451,0.3520004,0.2926201,0.1250513,0.15359,0.119961,0.1188822,0.2121841,0.09968751,0.2012936,0.325902,0.1097135,0.1592638,0.1368801,0.1496038,0.3777534,0.2869263,0.318935,0.3993076,0.2097285,0.2384487,0.3162242,0.3578278,0.1929894,0.1471363,0.2689104,0.2654181,0.1510103,0.1270639,0.1138,0.1245871,0.04731207,0.08701819,0.05346518,0.04968577,0.09881704,0.08591464,0.0819981,0.09041613,0.06996917,0.06680617,0.04718661,0.03206522,0.09372171,0.05715911,0.0570258,0.05902652,0.08838249,0.1101189,0.09298017,0.1111086,0.1308392,0.1626156,0.124757,0.1487796,0.1411391,0.02976081,0.1231271,0.1025504,0.07035939,0.06304464,0.09856141,0.08516103,0.06823981,0.07171081,0.06473593,0.09054969,0.2384275,0.244618,0.2711662,0.2548538,0.1954094,0.2500876,0.1724795,0.1688986
48,0.1355849,0.1456095,0.1281497,0.1210645,0.1329311,0.1118229,0.1651834,0.1967239,0.2518368,0.2176034,0.2029151,0.2142552,0.2531517,0.2314353,0.273468,0.2677103,0.1965443,0.1656659,0.2126043,0.1571536,0.3892328,0.4472054,0.3556647,0.5413238,0.1452626,0.1673063,0.11691,0.1358449,0.2510886,0.07204408,0.3549026,0.3781268,0.3033796,0.4734678,0.2902797,0.4288679,0.3366334,0.4538919,0.4151857,0.3407699,0.2210945,0.2584665,0.2628104,0.2589318,0.361449,0.3040372,0.3902598,0.2881419,0.1224483,0.1632333,0.1197307,0.1272566,0.2259485,0.0914847,0.2081181,0.3474842,0.1259071,0.1483171,0.1447567,0.1395113,0.4089486,0.3018746,0.3672643,0.4372037,0.2328392,0.2591532,0.3467723,0.4208861,0.2095686,0.1554975,0.2692081,0.2659894,0.1503667,0.1161891,0.1144789,0.1281987,0.04428843,0.08166842,0.05579596,0.04038419,0.09594511,0.0883243,0.07536197,0.1048936,0.06508967,0.07303538,0.04467551,0.03162277,0.08923318,0.05732875,0.04711704,0.04797286,0.08301651,0.09829193,0.09131339,0.08417287,0.1397537,0.1633885,0.1187903,0.1432388,0.1380533,0.03356301,0.1228099,0.102181,0.07341045,0.06951548,0.09571847,0.08370605,0.06640631,0.06891833,0.06212185,0.07235372,0.2507057,0.2623087,0.2829215,0.2864941,0.1928274,0.2275744,0.1736455,0.1657731
51,0.1380489,0.1466616,0.1339787,0.1297904,0.1225731,0.1097938,0.1645072,0.197317,0.2555908,0.2052959,0.1954239,0.2245606,0.270002,0.2514101,0.2880646,0.319494,0.194214,0.1671488,0.2185464,0.1615654,0.396485,0.4750745,0.3702661,0.564236,0.1415844,0.1937702,0.1194523,0.1310611,0.2575316,0.05414237,0.3801754,0.402014,0.314676,0.5208406,0.3013214,0.4091291,0.3519432,0.4740789,0.4312235,0.3649222,0.2343275,0.260748,0.2703373,0.2668741,0.3778727,0.3278646,0.4275559,0.3819237,0.1156775,0.1724432,0.1220315,0.1257932,0.2420293,0.120096,0.2220502,0.3555189,0.1185339,0.1575574,0.1498026,0.141325,0.4353358,0.3471663,0.3943383,0.451902,0.2457267,0.2816381,0.3448899,0.4727881,0.2135694,0.1544991,0.2824719,0.2895394,0.1550346,0.1200521,0.110292,0.1346072,0.04293108,0.07139119,0.06330033,0.04657529,0.1049905,0.08210528,0.06334323,0.1009989,0.06424019,0.06251643,0.04453064,0.03455266,0.09640729,0.06142738,0.0572195,0.06337088,0.09774898,0.1134123,0.1034955,0.09176121,0.1250626,0.1629111,0.1146308,0.156924,0.1536891,0.07476982,0.1271835,0.103353,0.07095838,0.07621294,0.09514415,0.07547548,0.05860346,0.06233541,0.06680666,0.06576466,0.2538185,0.2786728,0.3011049,0.3007361,0.1910553,0.2527956,0.1701625,0.1830032
54,0.1409234,0.153156,0.1317786,0.1370405,0.1374506,0.114173,0.1747147,0.1963962,0.2368211,0.2230784,0.1975092,0.2251262,0.2816731,0.2682602,0.3059499,0.3182368,0.1954526,0.1737528,0.2271602,0.1641442,0.429416,0.495793,0.3811102,0.6171432,0.1382137,0.1627401,0.1033853,0.1295481,0.2699625,0.04893109,0.3717292,0.4283002,0.3462632,0.6342223,0.3196017,0.4779824,0.3792697,0.4974551,0.4544206,0.4012021,0.2400888,0.2879104,0.3007347,0.2302542,0.4008213,0.3471037,0.4738692,0.3267168,0.1185807,0.171392,0.1207455,0.1348367,0.2504594,0.127336,0.2373784,0.3749833,0.1187167,0.1629347,0.1456647,0.149604,0.4737921,0.3822033,0.460955,0.5027446,0.2848378,0.2955738,0.3641779,0.5060171,0.2155295,0.1484255,0.2596155,0.3049224,0.1597219,0.1426908,0.1241345,0.1376197,0.03956867,0.06680144,0.05860064,0.04422456,0.1097653,0.08381442,0.06206911,0.1012556,0.06326546,0.05953982,0.03916766,0.03439182,0.09720199,0.05050386,0.04859862,0.0705855,0.09128674,0.1077641,0.1081277,0.1061363,0.1220814,0.1710615,0.1107115,0.1500181,0.1560566,0.04487179,0.1311933,0.1044468,0.07161041,0.07652748,0.09392796,0.08023226,0.06242425,0.06562795,0.06522301,0.06985837,0.2785077,0.2913128,0.3240589,0.315076,0.1936939,0.2760678,0.1716475,0.1787384
57,0.1288764,0.1534263,0.1395071,0.1395692,0.1425644,0.1166624,0.1817715,0.1887088,0.2437456,0.2324458,0.212859,0.2183743,0.2973763,0.280818,0.3176436,0.3307917,0.2107187,0.1656813,0.2369603,0.1633659,0.4394248,0.5371191,0.3916074,0.6600562,0.1386581,0.1643278,0.1100583,0.1461209,0.2798088,0.07437907,0.3926871,0.4386024,0.3399417,0.6028999,0.3322574,0.4618881,0.3754703,0.5074583,0.4975256,0.4400683,0.2453831,0.2927908,0.2850679,0.2963026,0.4035831,0.364103,0.4880646,0.3694078,0.1197015,0.1757519,0.1292006,0.1341235,0.2717366,0.1376774,0.2618782,0.3713704,0.1132418,0.1636925,0.1277753,0.1550314,0.4762821,0.4066521,0.4794856,0.5397291,0.2933393,0.304986,0.362496,0.454299,0.2323884,0.1565154,0.2683274,0.3075959,0.1647692,0.1522386,0.1311209,0.1329719,0.04442488,0.0538344,0.05371402,0.04649335,0.1108125,0.08153117,0.06767389,0.1029324,0.07037404,0.0647776,0.04294883,0.03538812,0.09416722,0.05136499,0.05154081,0.06635319,0.09022978,0.1199536,0.1055588,0.09287231,0.1272126,0.1746196,0.109245,0.1457048,0.1466813,0.02093646,0.1344877,0.1032015,0.0797791,0.07001595,0.09353887,0.07566176,0.05746157,0.0616299,0.06214123,0.0696834,0.2797258,0.3088324,0.355347,0.3474479,0.1939296,0.2744181,0.173628,0.1877529
60,0.1409402,0.1371653,0.1491886,0.136636,0.1548629,0.1179901,0.1820069,0.1835348,0.2477331,0.2382212,0.2104989,0.2285726,0.3036126,0.3106689,0.3293591,0.4006478,0.2070079,0.1710031,0.2400057,0.1635818,0.458811,0.5606825,0.4047161,0.6903669,0.1516344,0.1663703,0.1013997,0.1426206,0.3074067,0.08111355,0.4166641,0.4700274,0.3507149,0.6093328,0.3493391,0.4708804,0.3930487,0.5575829,0.5219857,0.4735399,0.2542179,0.3058477,0.2995984,0.2951389,0.428808,0.3637871,0.5267544,0.4343784,0.1211711,0.1925001,0.1246896,0.1481706,0.289368,0.1896154,0.2658614,0.4060987,0.1203436,0.164597,0.1132176,0.147629,0.5006806,0.4254404,0.5085147,0.5927141,0.302606,0.3013328,0.3809271,0.5065072,0.2388869,0.1527285,0.2834337,0.3106049,0.1618799,0.1607517,0.1309199,0.1297327,0.04030504,0.0584431,0.04845495,0.04786915,0.1146576,0.07256146,0.06260462,0.08822586,0.06535089,0.0560503,0.04464946,0.03254617,0.09498698,0.04049595,0.06558502,0.06775507,0.08164432,0.1223298,0.1101884,0.1039185,0.1270646,0.1778958,0.1118595,0.1393161,0.1447208,0.02421157,0.1286906,0.106975,0.07574154,0.07157131,0.09699729,0.08975411,0.06201153,0.0635967,0.06076096,0.06980219,0.3089388,0.3432912,0.3691576,0.3758093,0.2012334,0.2604031,0.1790154,0.1887096
63,0.1377043,0.1354207,0.1448049,0.1352685,0.1531681,0.1126044,0.1805203,0.1910446,0.2534723,0.2394738,0.1985963,0.2297019,0.3307568,0.3223464,0.3525444,0.4526561,0.2039207,0.1673514,0.2532532,0.1605459,0.4667295,0.5896767,0.4271532,0.722132,0.1403581,0.1318898,0.1202922,0.1420812,0.3042794,0.05327432,0.4181258,0.4806283,0.3600262,0.6828753,0.3601148,0.4767121,0.4056299,0.5674223,0.5425736,0.5179132,0.2459461,0.3103385,0.3099884,0.2904311,0.4481695,0.3982007,0.5792974,0.4422846,0.1268432,0.1792199,0.1155603,0.1469768,0.3031158,0.1987386,0.2740448,0.4082287,0.1309901,0.1744078,0.1185946,0.1489782,0.5255131,0.4544011,0.5343701,0.6129391,0.3206338,0.3170394,0.3873664,0.5249018,0.2603649,0.1552786,0.265287,0.3428881,0.162919,0.155884,0.1389831,0.125289,0.04283123,0.05803637,0.05041748,0.0423732,0.1096948,0.07594761,0.04939039,0.08858428,0.06060655,0.06536571,0.045316,0.03455004,0.1006229,0.04163918,0.06282283,0.06776772,0.07623181,0.1192251,0.1197174,0.09523202,0.1317229,0.1868485,0.1143394,0.1453437,0.1488537,0.05302846,0.1380021,0.1074825,0.07908134,0.06982065,0.0938443,0.08454423,0.062094,0.058956,0.06264891,0.0724171,0.3142733,0.3553633,0.3885496,0.3972762,0.2055988,0.2600861,0.1888118,0.193211
66,0.1558672,0.1359781,0.1505605,0.1411456,0.1508535,0.1088151,0.1860024,0.2038726,0.2504617,0.2499204,0.1895566,0.239023,0.3408921,0.3313706,0.358669,0.4019502,0.2227004,0.1678099,0.2505849,0.1602559,0.4860445,0.6014016,0.4140949,0.7550953,0.1485673,0.1398356,0.106945,0.1455101,0.3246098,0.08119052,0.4180573,0.4917934,0.3693265,0.7239608,0.3688298,0.5042818,0.3978252,0.606248,0.5479286,0.5242134,0.255076,0.3193361,0.2811677,0.3064409,0.4819035,0.4232594,0.5974847,0.3918999,0.1314783,0.1823379,0.1220217,0.1557124,0.3231035,0.1159622,0.2947487,0.4180876,0.1225846,0.180966,0.1128555,0.1619854,0.5591248,0.4712786,0.5686314,0.6191733,0.3328001,0.3463413,0.4120741,0.5619006,0.2506821,0.1580835,0.2782449,0.3537466,0.169185,0.1479781,0.1363903,0.1401089,0.04204157,0.05782646,0.05267677,0.04021886,0.1208677,0.0689005,0.04861837,0.09075332,0.05909304,0.07059015,0.04044929,0.03552051,0.09022536,0.04455812,0.07523394,0.06245712,0.08020449,0.1133063,0.1253019,0.1044784,0.1447564,0.1834621,0.120904,0.1512558,0.149578,0.09080482,0.1383556,0.1148576,0.08487667,0.07215692,0.09353858,0.08068907,0.06287691,0.05822298,0.05926728,0.06858753,0.3286406,0.3879292,0.3931679,0.4122593,0.2030002,0.2750618,0.2005432,0.200421
69,0.148311,0.1395913,0.1493704,0.1473714,0.1534513,0.1158559,0.186116,0.1949053,0.2548315,0.2568703,0.198519,0.2301664,0.342901,0.3514061,0.3647755,0.4052727,0.222167,0.1649501,0.2583072,0.1628235,0.5017562,0.6504445,0.426516,0.7719742,0.1430489,0.1380421,0.1035894,0.1318848,0.3381379,0.06809608,0.4168112,0.5007687,0.399827,0.7751364,0.3772852,0.5066115,0.3987686,0.6177509,0.5871586,0.5457103,0.2571523,0.3161556,0.3016458,0.3188893,0.4914272,0.4708163,0.6032583,0.3971804,0.1447853,0.1808862,0.1269265,0.1431901,0.3418039,0.1015598,0.3098459,0.4417694,0.1401689,0.1669474,0.1107816,0.1664932,0.5959222,0.4961703,0.5693843,0.6295414,0.3380328,0.3548156,0.4019529,0.5564418,0.2459587,0.180793,0.2985074,0.3428842,0.1614757,0.1555976,0.1340852,0.1468595,0.04180039,0.05539713,0.05706368,0.04128458,0.1239309,0.05927901,0.04687902,0.1107086,0.06003264,0.06088921,0.0422222,0.03591409,0.09060203,0.04952931,0.05993869,0.0574475,0.08735368,0.09905946,0.134546,0.1111047,0.1504629,0.181798,0.1230214,0.1782339,0.1533506,0.03347856,0.1448172,0.1163242,0.0859846,0.06988626,0.09437005,0.08702434,0.0631293,0.05340026,0.05616638,0.06766041,0.3353513,0.4190267,0.4052409,0.4159899,0.2108352,0.2729301,0.2069692,0.2016681
72,0.148674,0.1457951,0.1534109,0.154446,0.1546358,0.1173496,0.1925721,0.1927029,0.2565085,0.2590533,0.1994131,0.2381603,0.3528221,0.3604613,0.3708045,0.4374215,0.2132499,0.1715291,0.2678781,0.165332,0.527287,0.6449248,0.4516096,0.8237852,0.1481625,0.166545,0.1023648,0.1358974,0.3484727,0.1277589,0.4465596,0.5517268,0.3876479,0.7415299,0.3921006,0.5071295,0.4194685,0.6399143,0.5529788,0.5593633,0.2582324,0.3131509,0.2904239,0.3264924,0.4849709,0.4525566,0.61237,0.4823799,0.1478404,0.1991272,0.1248248,0.1307742,0.3588511,0.1067504,0.3247349,0.4570299,0.1448188,0.1654209,0.1133814,0.1725049,0.6044914,0.5210484,0.5821864,0.6173519,0.353365,0.3589309,0.4161804,0.5573097,0.240959,0.1538381,0.2946278,0.3701477,0.173334,0.1570943,0.133112,0.1511833,0.04547021,0.05445293,0.0546645,0.053482,0.1249037,0.06479624,0.05165012,0.1045504,0.07078427,0.06822017,0.04229867,0.04272133,0.08929889,0.05186554,0.05973449,0.05809902,0.09423949,0.1051698,0.1259177,0.1220475,0.1582129,0.1724255,0.1229775,0.1742258,0.1528458,0.04374331,0.1455375,0.1230376,0.09301781,0.07242895,0.08841831,0.08712882,0.06546481,0.05730247,0.07086023,0.0737279,0.3407436,0.4165538,0.4230399,0.4627279,0.2175692,0.2803507,0.2160975,0.1995198